p
"(:OntologyClass:NeedsReview {name: cab81-18-d, source: learned_from_dataset, uri: https://example.org/ontology#cab81-18-d})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cab81-18-d, source: learned_from_dataset, uri: https://example.org/ontology#cab81-18-d})-[:RELATEDTO]->(:OntologyClass {name: Electromechanical, source: Baseline, uri: https://schema.org/Electromechanical})"
"(:OntologyClass:NeedsReview {name: cab81-12s-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab81-12s-d54})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cab81-12s-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab81-12s-d54})-[:RELATEDTO]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cab81-12s-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab81-12s-d54})-[:RELATEDTO]->(:OntologyClass {name: Resistor, source: Baseline, uri: https://schema.org/Resistor})"
"(:OntologyClass:NeedsReview {name: cab81-12s-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab81-12s-d54})-[:RELATEDTO]->(:OntologyClass {name: Capacitor, source: Baseline, uri: https://schema.org/Capacitor})"
"(:OntologyClass:NeedsReview {name: cab81-12s-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab81-12s-d54})-[:RELATEDTO]->(:OntologyClass {name: Transistor, source: Baseline, uri: https://schema.org/Transistor})"
"(:OntologyClass:NeedsReview {name: cab81-20-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab81-20-d54})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cab81-20-d, source: learned_from_dataset, uri: https://example.org/ontology#cab81-20-d})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cab81-20-d, source: learned_from_dataset, uri: https://example.org/ontology#cab81-20-d})-[:RELATEDTO]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cab81-22-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab81-22-d54})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
